"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"AMMECR1",-1.14,0.253287632833099,-1.1,0.25,"-1.1","0.25","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"AMOT",1.07,0.00352466513785835,1.1,0,"1.1","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AMOTL1",1.29,0.000188013790835387,1.3,0,"1.3","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC16",0.797,0.0143533103818186,0.8,0.01,"0.8","0.01","Up","Present_3of3","MAR_1of3","Present vs MAR",NA
"ANAPC4",0.196,0.478296354454277,0.2,0.48,"0.2","0.48","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ANGEL1",-2.92,0.00287963349055063,-2.9,0,"-2.9","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"ANKLE2",1.4,2.36748770883767e-05,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA4",-0.875,0.000172616301159715,-0.9,0,"-0.9","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APLP1",-8.98,1.57290194542988e-06,-9,0,"-9.0","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"APLP2",-3.93,8.68852333703493e-09,-3.9,0,"-3.9","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APOA1",-2.07,3.31053314376323e-05,-2.1,0,"-2.1","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APOC3",-3.89,4.56980171143052e-05,-3.9,0,"-3.9","<0.01","Down","MAR_1of3","Present_3of3","MAR vs Present",NA
"APOE",-2.81,1.14714767482763e-06,-2.8,0,"-2.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APOH",-7.82,1.86005642515944e-07,-7.8,0,"-7.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"APP",-3.37,1.59952025791063e-08,-3.4,0,"-3.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ARB2A",0.959,0.0169576339366618,1,0.02,"1.0","0.02","Up","Present_3of3","MAR_1of3","Present vs MAR",NA
"ARF3",-10.2,3.62748975487439e-05,-10.2,0,"-10.2","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"ARL5B",0.646,0.683910998454186,0.6,0.68,"0.6","0.68","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ARL6IP1",-1.56,0.00524370280250779,-1.6,0.01,"-1.6","<0.01","Down","MAR_2of3","Present_3of3","MAR vs Present",NA
"ARMC7",3.21,6.3404920160601e-05,3.2,0,"3.2","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ART5",-0.0685,0.851782367923659,-0.1,0.85,"-0.1","0.85","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"ASPRV1",4.77,0.00669419964199689,4.8,0.01,"4.8","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ATAD5",1,0.000245838087616117,1,0,"1.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATF3",-0.628,0.174770185827141,-0.6,0.17,"-0.6","0.17","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF4",-1.98,0.0033342853037604,-2,0,"-2.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MK",-1.01,0.00166836703909225,-1,0,"-1.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0D2",-6.69,8.65105107274903e-08,-6.7,0,"-6.7","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ATP6V1D",-0.833,0.000121576461539176,-0.8,0,"-0.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATR",-0.198,0.75411969080458,-0.2,0.75,"-0.2","0.75","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"B3GALNT2",-1.51,0.419332877976392,-1.5,0.42,"-1.5","0.42","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"B4GALT5",-2.73,4.35062294580416e-06,-2.7,0,"-2.7","<0.01","Down","MAR_1of3","Present_3of3","MAR vs Present",NA
"B4GALT6",-0.756,0.351298224620528,-0.8,0.35,"-0.8","0.35","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"B9D1",-0.315,0.699828205005148,-0.3,0.7,"-0.3","0.70","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"BACE1",-4.62,2.34174663998469e-05,-4.6,0,"-4.6","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BCL2L12",-0.269,0.762757718489368,-0.3,0.76,"-0.3","0.76","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"BCOR",1.39,1.07632685645728e-05,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BIRC2",5.04,1.69237719453789e-09,5,0,"5.0","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"BLM",0.58,0.00524993053738634,0.6,0.01,"0.6","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S4",0.529,0.102389679648433,0.5,0.1,"0.5","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BMP2",-1.88,0.291976045854797,-1.9,0.29,"-1.9","0.29","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BMP4",-5.95,1.80448301878577e-05,-6,0,"-6.0","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BMPR2",0.225,0.908482000199407,0.2,0.91,"0.2","0.91","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"BNIP3",-0.64,0.657400297896611,-0.6,0.66,"-0.6","0.66","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"BOD1",2.12,0.00139855570008751,2.1,0,"2.1","<0.01","Up","Present_3of3","MAR_2of3","Present vs MAR",NA
"BORCS6",2.01,3.75522155257405e-06,2,0,"2.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BPGM",0.306,0.307835202519298,0.3,0.31,"0.3","0.31","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPNT2",-1.28,0.000197527001599157,-1.3,0,"-1.3","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BRI3",-6.19,1.90231270001954e-07,-6.2,0,"-6.2","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BRI3BP",-1.41,1.26485099981881e-06,-1.4,0,"-1.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BRWD3",1.09,0.000619992475987013,1.1,0,"1.1","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BTBD9",-1.71,0.518337424006303,-1.7,0.52,"-1.7","0.52","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"BTN2A3P",-2.99,0.223641836547601,-3,0.22,"-3.0","0.22","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"C1orf159",-3.07,0.0236099327705493,-3.1,0.02,"-3.1","0.02","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"C1orf198",1.43,0.000235239501393254,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"C2CD2L",0.687,0.120004741538615,0.7,0.12,"0.7","0.12","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C4A",-7.73,5.85438225418017e-06,-7.7,0,"-7.7","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"C4BPA",-3.7,0.0014119024156134,-3.7,0,"-3.7","<0.01","Down","MAR_2of3","Present_3of3","MAR vs Present",NA
"C6orf89",0.0346,0.945269639321636,0,0.95,"0.0","0.95","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"C8orf88",3.8,0.0141375809922098,3.8,0.01,"3.8","0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"C9orf72",-2.69,0.278949402705338,-2.7,0.28,"-2.7","0.28","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CABIN1",0.06,0.889491687897147,0.1,0.89,"0.1","0.89","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALCOCO2",-1.35,0.00130145948179603,-1.4,0,"-1.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CAMKK1",-0.0516,0.893064081621966,-0.1,0.89,"-0.1","0.89","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CARMIL2",0.503,0.267638672176988,0.5,0.27,"0.5","0.27","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CASTOR2",-0.742,0.209968262661906,-0.7,0.21,"-0.7","0.21","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CBY1",1.5,0.00178524224617077,1.5,0,"1.5","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC106",1.51,4.22050505035664e-05,1.5,0,"1.5","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC120",4.67,0.000555131626979931,4.7,0,"4.7","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CCDC138",4.73,0.0102976002065429,4.7,0.01,"4.7","0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"CCDC158",-5.35,1.48401308464805e-08,-5.3,0,"-5.3","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CCDC18",0.24,0.677544637845688,0.2,0.68,"0.2","0.68","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC186",1.51,6.46176857455688e-06,1.5,0,"1.5","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC28B",0.997,0.0203225792895736,1,0.02,"1.0","0.02","Up","Present_3of3","MAR_2of3","Present vs MAR",NA
"CCDC66",3.84,2.94747933500236e-05,3.8,0,"3.8","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CCDC82",-5.3,0.0150580181387842,-5.3,0.02,"-5.3","0.02","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CCK",-0.146,0.861360033035122,-0.1,0.86,"-0.1","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCN1",-9.47,5.77501710634661e-09,-9.5,0,"-9.5","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CCN2",-7.05,0.000112565757982858,-7,0,"-7.0","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CCNQ",1.44,0.408426305713825,1.4,0.41,"1.4","0.41","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"CCPG1",-1.06,0.00572770192616938,-1.1,0.01,"-1.1","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CD151",-2.61,1.98890792541845e-06,-2.6,0,"-2.6","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CD40",-4.4,0.0174530605551706,-4.4,0.02,"-4.4","0.02","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CD81",-1.83,0.000172616301159715,-1.8,0,"-1.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CD84",0.298,0.889116221864651,0.3,0.89,"0.3","0.89","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CD99",1.76,0.418638331283044,1.8,0.42,"1.8","0.42","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"CDC42EP1",2.12,4.31986689069103e-06,2.1,0,"2.1","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CDCA7L",1.15,0.00013975661997708,1.1,0,"1.1","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CDK11A",-5.75,4.57987258949439e-06,-5.8,0,"-5.8","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CDKN2A",0.578,0.031774004596092,0.6,0.03,"0.6","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CEBPZOS",-0.618,0.209232790519352,-0.6,0.21,"-0.6","0.21","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CENPW",-1.23,0.0113429034461984,-1.2,0.01,"-1.2","0.01","Down","MAR_2of3","Present_3of3","MAR vs Present",NA
"CENPX",0.63,0.159206149890638,0.6,0.16,"0.6","0.16","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CEP170B",1.71,2.85191587194966e-06,1.7,0,"1.7","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CEP41",1.45,5.16776488966906e-06,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CFAP97",1.92,0.000102945916357772,1.9,0,"1.9","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CHCHD4",-1.88,0.148672287417841,-1.9,0.15,"-1.9","0.15","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CHKA",-0.0225,0.991515697340625,0,0.99,"-0.0","0.99","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"CHPF",0.715,0.731934122973171,0.7,0.73,"0.7","0.73","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"CHPF2",-0.709,0.571389251749477,-0.7,0.57,"-0.7","0.57","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"CHSY1",-1.59,2.70810701162223e-05,-1.6,0,"-1.6","<0.01","Down","MAR_2of3","Present_3of3","MAR vs Present",NA
"CISD1",0.415,0.086045078580742,0.4,0.09,"0.4","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CKS1B",2.05,6.90727591582253e-06,2,0,"2.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CKS2",1.64,2.59805694649966e-05,1.6,0,"1.6","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CLK3",1.33,6.49953176387506e-05,1.3,0,"1.3","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CLOCK",-6.27,0.00192622256679355,-6.3,0,"-6.3","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CLTCL1",-4.67,7.46324437192418e-05,-4.7,0,"-4.7","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CLU",-1.1,0.000667806121889057,-1.1,0,"-1.1","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CMTM6",-5.31,0.000285347403791147,-5.3,0,"-5.3","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CNBP",-8.16,2.72582788352481e-08,-8.2,0,"-8.2","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CNEP1R1",-2.88,0.0183545851237307,-2.9,0.02,"-2.9","0.02","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CNOT8",0.326,0.617901417124719,0.3,0.62,"0.3","0.62","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CNOT9",-1.05,0.0144789789571375,-1,0.01,"-1.0","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"COL1A1",-3.85,6.13345373229334e-06,-3.9,0,"-3.9","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"COL1A2",-1.2,0.07583294012456,-1.2,0.08,"-1.2","0.08","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"COL4A6",1.19,7.60421685960284e-05,1.2,0,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"COLEC12",-0.733,0.0165442539414068,-0.7,0.02,"-0.7","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD3",0.474,0.109814476279444,0.5,0.11,"0.5","0.11","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD5",-0.586,0.643039953247853,-0.6,0.64,"-0.6","0.64","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD8",0.44,0.427056988524718,0.4,0.43,"0.4","0.43","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COMMD9",0.0873,0.715611835580872,0.1,0.72,"0.1","0.72","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COQ9",0.0686,0.832406258858389,0.1,0.83,"0.1","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"COX6A1",1.72,0.00330313067952615,1.7,0,"1.7","<0.01","Up","Present_3of3","MAR_2of3","Present vs MAR",NA
"CPNE8",-1.02,4.88718950624273e-05,-1,0,"-1.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CRABP2",-3.98,9.99389872518037e-08,-4,0,"-4.0","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CRBN",0.416,0.289460699643886,0.4,0.29,"0.4","0.29","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CREM",3.2,0.0512514791380217,3.2,0.05,"3.2","0.05","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"CRIM1",-4.34,8.65105107274903e-08,-4.3,0,"-4.3","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CRYGD",0.274,0.852391080493114,0.3,0.85,"0.3","0.85","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"CSPG4",7.77,7.09694824348456e-10,7.8,0,"7.8","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CSPG5",-2.01,0.302440094286706,-2,0.3,"-2.0","0.30","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CUL7",-4.77,9.00221804733538e-07,-4.8,0,"-4.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CWC22",0.526,0.0127628742980884,0.5,0.01,"0.5","0.01","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CYBA",4.61,5.95497040276089e-08,4.6,0,"4.6","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CYBC1",0.0794,0.824608562944649,0.1,0.82,"0.1","0.82","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CYLD",-1.5,0.018535162515848,-1.5,0.02,"-1.5","0.02","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CYREN",4,3.61086323261597e-05,4,0,"4.0","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CYSTM1",-3.09,0.118499897675645,-3.1,0.12,"-3.1","0.12","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"DACT1",4.88,9.6666887186882e-05,4.9,0,"4.9","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"DBP",4.97,4.91106726040581e-06,5,0,"5.0","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"DCBLD1",0.215,0.875576624582758,0.2,0.88,"0.2","0.88","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"DCTD",-0.459,0.143964555762499,-0.5,0.14,"-0.5","0.14","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DDIT4",0.688,0.302440094286706,0.7,0.3,"0.7","0.30","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"DDR2",-1.72,1.16141416559865e-05,-1.7,0,"-1.7","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"DDX19A",0.415,0.361151705764336,0.4,0.36,"0.4","0.36","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"DDX28",-0.118,0.638665727984462,-0.1,0.64,"-0.1","0.64","NS","Present_3of3","Present_3of3","Present vs Present",NA
"DGCR2",-1.21,0.00118747722531079,-1.2,0,"-1.2","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"DGCR6",5.72,1.59258273108634e-08,5.7,0,"5.7","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"DGCR6L",1.28,0.0689110166328226,1.3,0.07,"1.3","0.07","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"DHDDS",-0.0771,0.979696755097371,-0.1,0.98,"-0.1","0.98","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"DHRS13",6.14,4.35062294580416e-06,6.1,0,"6.1","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"DKK1",0.0159,0.983514415237347,0,0.98,"0.0","0.98","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"DLX1",0.855,0.643096110771766,0.9,0.64,"0.9","0.64","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"DLX6",-0.509,0.358729835237349,-0.5,0.36,"-0.5","0.36","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"DMTN",4.83,6.88373947114047e-09,4.8,0,"4.8","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"DNA2",0.488,0.250178721930988,0.5,0.25,"0.5","0.25","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"DNAJB5",0.81,0.68002833029644,0.8,0.68,"0.8","0.68","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"DNAL4",-0.0584,0.879061766865117,-0.1,0.88,"-0.1","0.88","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"DNLZ",-2.09,0.000378050012220312,-2.1,0,"-2.1","<0.01","Down","MAR_1of3","Present_3of3","MAR vs Present",NA
"DOLK",5.79,2.77147757783186e-07,5.8,0,"5.8","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"DPH7",-2.06,0.0189371028087207,-2.1,0.02,"-2.1","0.02","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"DPM3",-0.992,0.00278726998061684,-1,0,"-1.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"EDIL3",-4.65,0.000194169509462992,-4.7,0,"-4.7","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"EEF1AKMT1",-5.85,6.63002390881398e-05,-5.8,0,"-5.8","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"EEF1G",-0.325,0.111197790932331,-0.3,0.11,"-0.3","0.11","NS","Present_3of3","Present_3of3","Present vs Present",NA
"EFNA5",-0.637,0.394194622755321,-0.6,0.39,"-0.6","0.39","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"EFR3A",-1.77,0.0123971897323545,-1.8,0.01,"-1.8","0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"EFR3B",-7.02,0.00135292325414514,-7,0,"-7.0","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"EGLN3",-4.01,0.022015306955396,-4,0.02,"-4.0","0.02","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"EGR1",-4.37,1.71104055737113e-05,-4.4,0,"-4.4","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"EHD3",-4.12,0.00142230189460968,-4.1,0,"-4.1","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"EIF1",-0.265,0.574415555063414,-0.3,0.57,"-0.3","0.57","NS","Present_3of3","Present_3of3","Present vs Present",NA
"EIF1B",0.874,0.00968286016735179,0.9,0.01,"0.9","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"EIF3C",-0.0417,0.970640525077211,0,0.97,"-0.0","0.97","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"EIF4ENIF1",1.4,6.98802712831153e-05,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"EIF5",0.972,0.000339774995282004,1,0,"1.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ELOF1",-8.17,2.52930650059457e-08,-8.2,0,"-8.2","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ELOVL1",-2.62,0.242305762495427,-2.6,0.24,"-2.6","0.24","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"ELOVL5",-3.63,0.00553623399139044,-3.6,0.01,"-3.6","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ENDOD1",-0.303,0.441966555268531,-0.3,0.44,"-0.3","0.44","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ENKD1",1.06,0.0378894824436711,1.1,0.04,"1.1","0.04","Up","Present_3of3","MAR_1of3","Present vs MAR",NA
"ENTPD6",0.106,0.90660209090403,0.1,0.91,"0.1","0.91","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ENTR1",-4.8,3.60919170252839e-05,-4.8,0,"-4.8","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"EPHA4",-1.56,1.10957962948954e-06,-1.6,0,"-1.6","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
